param_id,direction,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,session,trade_date,mom_norm,rev_z
M200R5_0034,short,2026-04-27T17:45:00+00:00,2026-04-27T18:00:00+00:00,4698.2,4695.0,4702.5,4695.0,316.1999999999818,319.9999999999818,tp,3,RTH,2026-04-27,-0.40279813612622667,1.115396987486968
M200R5_0034,short,2026-04-29T14:35:00+00:00,2026-04-29T14:45:00+00:00,4552.5,4545.8,4561.5,4545.8,666.1999999999819,669.9999999999818,tp,2,RTH,2026-04-29,-0.508119255795808,0.8185676235564532
M200R5_0034,short,2026-04-29T15:05:00+00:00,2026-04-29T15:10:00+00:00,4555.6,4549.8,4563.3,4549.8,576.2000000000182,580.0000000000182,tp,1,RTH,2026-04-29,-0.493735830785227,0.8313766083647661
M200R5_0034,long,2026-04-29T17:35:00+00:00,2026-04-29T17:55:00+00:00,4558.2,4561.7998046875,4553.0,4562.1,356.1804687500182,359.9804687500182,mean,4,RTH,2026-04-29,0.5947758649694654,-0.8876752613300676
M200R5_0034,short,2026-04-30T16:55:00+00:00,2026-04-30T16:55:00+00:00,4629.5,4625.900000000001,4634.2,4625.900000000001,356.1999999999454,359.99999999994543,tp,0,RTH,2026-04-30,-0.40064879287840643,0.8079273894945107
M200R5_0034,short,2026-05-04T17:20:00+00:00,2026-05-04T17:25:00+00:00,4539.3,4533.0,4547.8,4533.0,626.2000000000182,630.0000000000182,tp,1,RTH,2026-05-04,-0.6767985203796335,1.0151644061023244
M200R5_0034,short,2026-05-05T18:15:00+00:00,2026-05-05T18:20:00+00:00,4575.0,4572.3,4578.5,4572.3,266.1999999999818,269.9999999999818,tp,1,RTH,2026-05-05,-0.6649935573379483,0.9854419190818373
M200R5_0034,long,2026-05-06T11:45:00+00:00,2026-05-06T11:55:00+00:00,4710.8,4702.7,4702.7,4716.8,-813.8000000000363,-810.0000000000364,sl,2,PRE,2026-05-06,0.4026478187744798,-1.2435865697071296
M200R5_0034,long,2026-05-06T15:35:00+00:00,2026-05-06T15:55:00+00:00,4705.900000000001,4699.5,4699.5,4710.7,-643.8000000000545,-640.0000000000546,sl,4,RTH,2026-05-06,0.5159343300923737,-0.8697463373629829
M200R5_0034,short,2026-05-06T18:15:00+00:00,2026-05-06T18:20:00+00:00,4697.7,4700.7,4700.7,4695.400000000001,-303.8,-300.0,sl,1,RTH,2026-05-06,-0.7968746423248951,1.0140172454032608
M200R5_0034,short,2026-05-08T17:20:00+00:00,2026-05-08T17:55:00+00:00,4728.5,4732.0,4732.0,4725.900000000001,-353.8,-350.0,sl,7,RTH,2026-05-08,-1.3182836599534,1.1946304405998405
M200R5_0034,long,2026-05-11T16:25:00+00:00,2026-05-11T16:35:00+00:00,4734.0,4729.8,4729.8,4737.2,-423.7999999999818,-419.9999999999818,sl,2,RTH,2026-05-11,0.5580535784683504,-0.9402798370022734
M200R5_0034,short,2026-05-12T17:05:00+00:00,2026-05-12T17:15:00+00:00,4683.2,4687.8,4687.8,4679.8,-463.8000000000364,-460.0000000000364,sl,2,RTH,2026-05-12,-0.7942863692216275,1.2326735088662069
M200R5_0034,short,2026-05-12T17:30:00+00:00,2026-05-12T18:00:00+00:00,4686.400000000001,4690.5,4690.5,4683.3,-413.79999999994544,-409.99999999994543,sl,6,RTH,2026-05-12,-0.49149024223479776,0.9590002231057424
M200R5_0034,long,2026-05-13T17:35:00+00:00,2026-05-13T17:45:00+00:00,4698.8,4701.900000000001,4694.7,4701.900000000001,306.20000000003637,310.0000000000364,tp,2,RTH,2026-05-13,0.4059584030886575,-1.6538614489807253
M200R5_0034,long,2026-05-15T19:05:00+00:00,2026-05-15T19:10:00+00:00,4558.3,4553.900000000001,4553.900000000001,4561.6,-443.79999999996363,-439.9999999999636,sl,1,RTH,2026-05-15,0.46372019282175686,-0.8160950231215087
M200R5_0034,long,2026-05-15T19:25:00+00:00,2026-05-15T19:30:00+00:00,4554.2,4557.400000000001,4549.900000000001,4557.400000000001,316.20000000007275,320.00000000007276,tp,1,RTH,2026-05-15,0.5533895230294986,-0.9954626808892361
M200R5_0034,short,2026-05-18T16:55:00+00:00,2026-05-18T17:00:00+00:00,4557.3,4552.900000000001,4563.2,4552.900000000001,436.1999999999636,439.9999999999636,tp,1,RTH,2026-05-18,-0.6893797608325439,1.3201821764114021
M200R5_0034,short,2026-05-18T17:10:00+00:00,2026-05-18T17:15:00+00:00,4560.900000000001,4556.3,4567.0,4556.3,456.20000000003637,460.0000000000364,tp,1,RTH,2026-05-18,-0.4583314387450459,1.2305644237095195
M200R5_0034,short,2026-05-19T16:00:00+00:00,2026-05-19T16:05:00+00:00,4512.0,4506.900000000001,4518.900000000001,4506.900000000001,506.1999999999454,509.99999999994543,tp,1,RTH,2026-05-19,-0.7932064290974672,1.0015642742402457
M200R5_0034,long,2026-05-19T17:50:00+00:00,2026-05-19T18:05:00+00:00,4504.400000000001,4507.400000000001,4500.5,4507.400000000001,296.2,300.0,tp,3,RTH,2026-05-19,0.46432044489794627,-1.0936499354123062
M200R5_0034,long,2026-05-21T18:50:00+00:00,2026-05-21T18:50:00+00:00,4539.7,4533.2,4533.2,4544.6,-653.8,-650.0,sl,0,RTH,2026-05-21,0.8470840089966399,-0.9749287608055369
M200R5_0034,long,2026-05-21T19:00:00+00:00,2026-05-21T19:00:00+00:00,4533.400000000001,4538.5,4526.6,4538.5,506.1999999999454,509.99999999994543,tp,0,RTH,2026-05-21,0.5325587690483119,-1.1824983469064005
M200R5_0034,short,2026-05-22T15:40:00+00:00,2026-05-22T15:40:00+00:00,4521.5,4518.0,4526.2,4518.0,346.2,350.0,tp,0,RTH,2026-05-22,-0.43734406109580315,1.6059888869757821
M200R5_0034,short,2026-05-27T12:20:00+00:00,2026-05-27T12:20:00+00:00,4477.8,4486.5,4486.5,4471.3,-873.7999999999818,-869.9999999999818,sl,0,PRE,2026-05-27,-0.9258265320898839,0.9053608045599637
M200R5_0034,short,2026-05-27T12:30:00+00:00,2026-05-27T12:30:00+00:00,4484.900000000001,4477.3,4495.0,4477.3,756.2000000000364,760.0000000000364,tp,0,PRE,2026-05-27,-0.5581043836392641,1.0711254955889293
M200R5_0034,long,2026-05-27T17:10:00+00:00,2026-05-27T17:15:00+00:00,4474.400000000001,4477.6,4470.1,4477.6,316.1999999999818,319.9999999999818,tp,1,RTH,2026-05-27,0.8305512239453237,-0.8391856332345661
M200R5_0034,long,2026-05-28T18:35:00+00:00,2026-05-28T19:20:00+00:00,4533.0,4533.2998046875,4528.8,4536.2,26.18046875,29.98046875,mean,9,RTH,2026-05-28,1.1685658255293356,-1.0337815773691552
M200R5_0034,long,2026-05-29T11:30:00+00:00,2026-05-29T11:40:00+00:00,4559.0,4562.3,4554.6,4562.3,326.2000000000182,330.0000000000182,tp,2,PRE,2026-05-29,0.4383707216874936,-1.0996382106342946
M200R5_0034,long,2026-05-29T17:40:00+00:00,2026-05-29T17:40:00+00:00,4589.6,4584.5,4584.5,4593.400000000001,-513.8000000000363,-510.0000000000364,sl,0,RTH,2026-05-29,0.4551897408116849,-1.0108271924374763
M200R5_0034,long,2026-05-29T17:50:00+00:00,2026-05-29T18:15:00+00:00,4587.1,4589.7998046875,4582.2,4590.8,266.1804687499636,269.9804687499636,mean,5,RTH,2026-05-29,0.809932296873644,-1.070519755863999
M200R5_0034,short,2026-06-01T15:30:00+00:00,2026-06-01T15:30:00+00:00,4498.7,4504.7,4504.7,4494.2,-603.8,-600.0,sl,0,RTH,2026-06-01,-1.0377851672752672,0.9694646525133666
M200R5_0034,short,2026-06-01T15:40:00+00:00,2026-06-01T15:40:00+00:00,4506.7,4502.1,4512.900000000001,4502.1,456.1999999999454,459.99999999994543,tp,0,RTH,2026-06-01,-0.6944558430160661,1.5841946571644447
M200R5_0034,short,2026-06-01T16:00:00+00:00,2026-06-01T16:05:00+00:00,4504.7,4500.5,4510.3,4500.5,416.1999999999818,419.9999999999818,tp,1,RTH,2026-06-01,-0.8153900266956241,0.8264485481722889
M200R5_0034,short,2026-06-02T19:30:00+00:00,2026-06-02T19:30:00+00:00,4519.2,4516.8,4522.400000000001,4516.8,236.1999999999636,239.99999999996362,tp,0,RTH,2026-06-02,-0.584343452454425,0.808764566030229
M200R5_0034,long,2026-06-03T12:20:00+00:00,2026-06-03T12:20:00+00:00,4484.400000000001,4487.400000000001,4480.400000000001,4487.400000000001,296.2,300.0,tp,0,PRE,2026-06-03,0.4808643526039028,-1.1074442480490887
M200R5_0034,long,2026-06-04T13:55:00+00:00,2026-06-04T14:05:00+00:00,4526.2,4518.900000000001,4518.900000000001,4531.7,-733.7999999999272,-729.9999999999272,sl,2,RTH,2026-06-04,0.6660179624203266,-0.9322990488930364
M200R5_0034,short,2026-06-04T16:10:00+00:00,2026-06-04T17:05:00+00:00,4509.8,4507.2998046875,4514.5,4506.3,246.21953125001818,250.0195312500182,mean,11,RTH,2026-06-04,-0.749010830466503,1.2996623753039604
M200R5_0034,short,2026-06-05T17:00:00+00:00,2026-06-05T17:00:00+00:00,4369.3,4363.900000000001,4376.5,4363.900000000001,536.1999999999637,539.9999999999636,tp,0,RTH,2026-06-05,-1.056576157039371,1.1384987792923555
M200R5_0034,long,2026-06-08T14:15:00+00:00,2026-06-08T14:45:00+00:00,4344.400000000001,4350.5,4336.2,4350.5,606.1999999999455,609.9999999999454,tp,6,RTH,2026-06-08,0.420715327009277,-0.9191852384646901
M200R5_0034,short,2026-06-09T18:20:00+00:00,2026-06-09T18:40:00+00:00,4293.7,4289.0,4300.0,4289.0,466.1999999999818,469.9999999999818,tp,4,RTH,2026-06-09,-0.7780189713018537,0.9320137857194362
M200R5_0034,long,2026-06-12T11:05:00+00:00,2026-06-12T11:30:00+00:00,4227.0,4221.1,4221.1,4231.400000000001,-593.7999999999636,-589.9999999999636,sl,5,PRE,2026-06-12,0.6100799400414758,-1.3800128674157537
M200R5_0034,long,2026-06-16T11:10:00+00:00,2026-06-16T11:25:00+00:00,4361.2,4363.3,4358.400000000001,4363.3,206.20000000003637,210.00000000003638,tp,3,PRE,2026-06-16,0.6602261765858558,-1.6324185496551065
M200R5_0034,long,2026-06-16T18:50:00+00:00,2026-06-16T18:55:00+00:00,4357.900000000001,4359.8,4355.3,4359.8,186.1999999999636,189.99999999996362,tp,1,RTH,2026-06-16,0.6863268687980049,-0.9690835631823178
M200R5_0034,long,2026-06-17T16:45:00+00:00,2026-06-17T17:05:00+00:00,4378.0,4380.7,4374.400000000001,4380.7,266.1999999999818,269.9999999999818,tp,4,RTH,2026-06-17,0.9436931338674653,-0.8054188203495352
M200R5_0034,short,2026-06-18T12:15:00+00:00,2026-06-18T12:20:00+00:00,4275.7,4281.7,4281.7,4271.2,-603.8,-600.0,sl,1,PRE,2026-06-18,-0.5599806708304153,1.4583569760396982
M200R5_0034,short,2026-06-18T17:20:00+00:00,2026-06-18T17:25:00+00:00,4249.400000000001,4245.2,4255.0,4245.2,416.20000000007275,420.00000000007276,tp,1,RTH,2026-06-18,-0.731324961143475,0.9072653701450956
M200R5_0034,short,2026-06-18T17:45:00+00:00,2026-06-18T18:10:00+00:00,4249.0,4247.2998046875,4254.1,4245.2,166.21953125,170.01953125,mean,5,RTH,2026-06-18,-0.7016443645906836,0.8426131637043051
M200R5_0034,long,2026-06-23T11:05:00+00:00,2026-06-23T11:05:00+00:00,4136.7,4140.3,4131.8,4140.3,356.20000000003637,360.0000000000364,tp,0,PRE,2026-06-23,0.4824757670376702,-0.9269710221525395
M200R5_0034,long,2026-06-23T17:00:00+00:00,2026-06-23T17:05:00+00:00,4151.900000000001,4147.900000000001,4147.900000000001,4154.900000000001,-403.8,-400.0,sl,1,RTH,2026-06-23,0.5895178791820169,-0.9290240232760122
M200R5_0034,short,2026-06-24T13:40:00+00:00,2026-06-24T13:45:00+00:00,4022.1000000000004,4036.4,4036.4,4011.4,-1433.7999999999727,-1429.9999999999727,sl,1,RTH,2026-06-24,-0.595963871381912,0.9533656657537214
M200R5_0034,short,2026-06-24T19:55:00+00:00,2026-06-24T19:55:00+00:00,4007.8,4003.7000000000003,4013.2000000000003,4003.7000000000003,406.1999999999909,409.9999999999909,tp,0,RTH,2026-06-24,-0.7039242428184456,1.3510836559609132
M200R5_0034,long,2026-06-25T15:15:00+00:00,2026-06-25T15:15:00+00:00,4023.0,4029.5,4014.3,4029.5,646.2,650.0,tp,0,RTH,2026-06-25,0.4795481566056481,-0.8240049425001766
M200R5_0034,long,2026-06-26T11:45:00+00:00,2026-06-26T12:10:00+00:00,4062.0,4065.3,4057.5,4065.3,326.2000000000182,330.0000000000182,tp,5,PRE,2026-06-26,0.5595962950300971,-0.8517458929883075
M200R5_0034,long,2026-06-26T12:20:00+00:00,2026-06-26T12:25:00+00:00,4059.3,4062.5,4055.0,4062.5,316.1999999999818,319.9999999999818,tp,1,PRE,2026-06-26,0.4780210424046431,-0.8117293134604674
M200R5_0034,short,2026-06-26T19:55:00+00:00,2026-06-26T20:00:00+00:00,4087.8,4085.2000000000003,4091.3,4085.2000000000003,256.1999999999909,259.9999999999909,tp,1,RTH,2026-06-26,-0.7108726365386675,0.9396713385831732
M200R5_0034,long,2026-06-30T12:20:00+00:00,2026-06-30T12:20:00+00:00,4039.4,4035.4,4035.4,4042.4,-403.8,-400.0,sl,0,PRE,2026-06-30,0.43802496349595216,-0.8479113577448852
M200R5_0034,long,2026-06-30T17:00:00+00:00,2026-06-30T17:05:00+00:00,4040.8,4037.3,4037.3,4043.4,-353.8,-350.0,sl,1,RTH,2026-06-30,0.551134868933967,-1.2223247749193462
M200R5_0034,short,2026-06-30T17:55:00+00:00,2026-06-30T18:30:00+00:00,4046.0,4044.800048828125,4049.7000000000003,4043.2000000000003,116.1951171875,119.9951171875,mean,7,RTH,2026-06-30,-0.8615485900907884,0.9197606639805005
M200R5_0034,long,2026-07-01T13:10:00+00:00,2026-07-01T13:10:00+00:00,4031.6000000000004,4036.3,4025.4,4036.3,466.1999999999818,469.9999999999818,tp,0,PRE,2026-07-01,0.8370947438067503,-0.9167556859986219
M200R5_0034,long,2026-07-01T15:35:00+00:00,2026-07-01T15:45:00+00:00,4092.3,4098.900000000001,4083.6000000000004,4098.900000000001,656.2000000000364,660.0000000000364,tp,2,RTH,2026-07-01,1.0226249621390868,-0.8735179669221244
M200R5_0034,long,2026-07-01T16:35:00+00:00,2026-07-01T16:35:00+00:00,4091.0,4094.6000000000004,4086.2000000000003,4094.6000000000004,356.20000000003637,360.0000000000364,tp,0,RTH,2026-07-01,1.8474084033923035,-1.2382957361658986
M200R5_0034,long,2026-07-02T14:30:00+00:00,2026-07-02T14:30:00+00:00,4129.6,4137.3,4119.400000000001,4137.3,766.1999999999819,769.9999999999818,tp,0,RTH,2026-07-02,0.8891644212711356,-0.9269530349392406
