param_id,signal_name,direction,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,session,trade_date
IFB_1082,kdjma,long,2026-04-24T19:50:00+00:00,2026-04-24T20:00:00+00:00,4732.400000000001,4728.3,4728.3,4735.1,-413.8000000000364,-410.0000000000364,sl,2,RTH,2026-04-24
IFB_1082,kdjma,long,2026-04-27T13:15:00+00:00,2026-04-27T13:15:00+00:00,4710.900000000001,4716.1,4703.1,4716.1,516.1999999999819,519.9999999999818,tp,0,PRE,2026-04-27
IFB_1082,kdjma,long,2026-04-27T17:20:00+00:00,2026-04-27T17:20:00+00:00,4686.0,4689.3,4681.0,4689.3,326.2000000000182,330.0000000000182,tp,0,RTH,2026-04-27
IFB_1082,kdjma,long,2026-04-28T11:20:00+00:00,2026-04-28T11:20:00+00:00,4610.7,4615.8,4603.1,4615.8,506.20000000003637,510.0000000000364,tp,0,PRE,2026-04-28
IFB_1082,kdjma,long,2026-04-29T13:00:00+00:00,2026-04-29T13:00:00+00:00,4558.400000000001,4564.7,4549.0,4564.7,626.1999999999273,629.9999999999272,tp,0,PRE,2026-04-29
IFB_1082,kdjma,long,2026-04-29T13:50:00+00:00,2026-04-29T13:55:00+00:00,4527.1,4535.3,4514.8,4535.3,816.1999999999819,819.9999999999818,tp,1,RTH,2026-04-29
IFB_1082,kdjma,long,2026-04-30T13:50:00+00:00,2026-04-30T14:20:00+00:00,4631.2,4638.5,4620.3,4638.5,726.2000000000182,730.0000000000182,tp,6,RTH,2026-04-30
IFB_1082,kdjma,long,2026-05-01T18:10:00+00:00,2026-05-01T18:10:00+00:00,4636.2,4629.7,4629.7,4640.5,-653.8,-650.0,sl,0,RTH,2026-05-01
IFB_1082,kdjma,long,2026-05-04T15:25:00+00:00,2026-05-04T15:25:00+00:00,4531.3,4542.6,4514.400000000001,4542.6,1126.2000000000182,1130.0000000000182,tp,0,RTH,2026-05-04
IFB_1082,kdjma,long,2026-05-04T18:30:00+00:00,2026-05-04T19:00:00+00:00,4522.1,4526.3,4515.8,4526.3,416.1999999999818,419.9999999999818,tp,6,RTH,2026-05-04
IFB_1082,kdjma,long,2026-05-05T11:05:00+00:00,2026-05-05T11:05:00+00:00,4553.5,4557.6,4547.3,4557.6,406.20000000003637,410.0000000000364,tp,0,PRE,2026-05-05
IFB_1082,kdjma,long,2026-05-05T16:05:00+00:00,2026-05-05T16:25:00+00:00,4578.2,4571.8,4571.8,4582.400000000001,-643.7999999999636,-639.9999999999636,sl,4,RTH,2026-05-05
IFB_1082,kdjma,long,2026-05-05T16:35:00+00:00,2026-05-05T16:55:00+00:00,4568.900000000001,4573.400000000001,4562.1,4573.400000000001,446.2,450.0,tp,4,RTH,2026-05-05
IFB_1082,kdjma,long,2026-05-06T12:05:00+00:00,2026-05-06T12:10:00+00:00,4696.6,4684.6,4684.6,4704.6,-1203.8,-1200.0,sl,1,PRE,2026-05-06
IFB_1082,kdjma,long,2026-05-06T12:20:00+00:00,2026-05-06T12:20:00+00:00,4680.900000000001,4690.0,4667.3,4690.0,906.1999999999455,909.9999999999454,tp,0,PRE,2026-05-06
IFB_1082,kdjma,long,2026-05-06T16:05:00+00:00,2026-05-06T16:35:00+00:00,4697.8,4700.7001953125,4689.900000000001,4703.1,286.2195312499818,290.0195312499818,time,6,RTH,2026-05-06
IFB_1082,kdjma,long,2026-05-08T12:25:00+00:00,2026-05-08T12:25:00+00:00,4715.5,4720.1,4708.5,4720.1,456.20000000003637,460.0000000000364,tp,0,PRE,2026-05-08
IFB_1082,kdjma,long,2026-05-11T16:45:00+00:00,2026-05-11T16:45:00+00:00,4720.6,4725.1,4713.900000000001,4725.1,446.2,450.0,tp,0,RTH,2026-05-11
IFB_1082,kdjma,long,2026-05-12T15:20:00+00:00,2026-05-12T15:20:00+00:00,4669.1,4656.900000000001,4656.900000000001,4677.2,-1223.7999999999818,-1219.9999999999818,sl,0,RTH,2026-05-12
IFB_1082,kdjma,long,2026-05-13T12:25:00+00:00,2026-05-13T12:30:00+00:00,4694.5,4687.8,4687.8,4699.0,-673.7999999999818,-669.9999999999818,sl,1,PRE,2026-05-13
IFB_1082,kdjma,long,2026-05-14T13:45:00+00:00,2026-05-14T13:45:00+00:00,4682.2,4690.5,4669.8,4690.5,826.2000000000182,830.0000000000182,tp,0,RTH,2026-05-14
IFB_1082,kdjma,long,2026-05-14T16:40:00+00:00,2026-05-14T16:50:00+00:00,4679.0,4683.5,4672.2,4683.5,446.2,450.0,tp,2,RTH,2026-05-14
IFB_1082,kdjma,long,2026-05-18T14:50:00+00:00,2026-05-18T15:20:00+00:00,4547.400000000001,4543.0,4531.6,4557.900000000001,-443.8000000000546,-440.00000000005457,time,6,RTH,2026-05-18
IFB_1082,kdjma,long,2026-05-19T13:10:00+00:00,2026-05-19T13:20:00+00:00,4525.8,4514.8,4514.8,4533.1,-1103.8,-1100.0,sl,2,PRE,2026-05-19
IFB_1082,kdjma,long,2026-05-19T13:35:00+00:00,2026-05-19T13:50:00+00:00,4484.6,4495.1,4468.8,4495.1,1046.2,1050.0,tp,3,RTH,2026-05-19
IFB_1082,kdjma,long,2026-05-19T20:00:00+00:00,2026-05-19T20:20:00+00:00,4486.900000000001,4490.7,4481.1,4490.7,376.19999999992723,379.99999999992724,tp,4,RTH,2026-05-19
IFB_1082,kdjma,long,2026-05-20T14:10:00+00:00,2026-05-20T14:10:00+00:00,4478.900000000001,4469.3,4469.3,4485.3,-963.8000000000363,-960.0000000000364,sl,0,RTH,2026-05-20
IFB_1082,kdjma,long,2026-05-21T13:35:00+00:00,2026-05-21T13:40:00+00:00,4495.0,4503.400000000001,4482.400000000001,4503.400000000001,836.2000000000546,840.0000000000546,tp,1,RTH,2026-05-21
IFB_1082,kdjma,long,2026-05-22T19:30:00+00:00,2026-05-22T19:40:00+00:00,4509.1,4512.5,4503.900000000001,4512.5,336.1999999999636,339.9999999999636,tp,2,RTH,2026-05-22
IFB_1082,kdjma,long,2026-05-26T11:35:00+00:00,2026-05-26T11:35:00+00:00,4519.400000000001,4513.2,4513.2,4523.5,-623.8000000000727,-620.0000000000728,sl,0,PRE,2026-05-26
IFB_1082,kdjma,long,2026-05-26T11:45:00+00:00,2026-05-26T11:45:00+00:00,4509.8,4514.8,4502.3,4514.8,496.2,500.0,tp,0,PRE,2026-05-26
IFB_1082,kdjma,long,2026-05-26T15:20:00+00:00,2026-05-26T15:50:00+00:00,4508.400000000001,4510.10009765625,4500.5,4513.7,166.20976562494542,170.00976562494543,time,6,RTH,2026-05-26
