month,trades,pnl,max_dd,profit_factor,win_rate,expectancy,total_gain,total_loss
2026-04,7,3103.4,413.8,8.4998,0.8571,443.343,3517.2,-413.8
2026-05,27,677.42,2172.8,1.0812,0.5926,25.09,9019.23,-8341.81
2026-06,36,4153.17,2351.41,1.3554,0.5833,115.366,15840.2,-11687.03
2026-07,4,44.79,1351.41,1.0331,0.25,11.198,1396.2,-1351.41
