param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_1082,kdjma,long,PRE_RTH,1.5,1.0,6,False,3,74,7978.78,2645.01,1.3661,0.5946,107.821,29772.83,-21794.05,49,5713.81,2645.01,1.396,0.6327,116.608,20142.23,-14428.42,25,2264.97,2056.61,1.3075,0.52,90.599,9630.6,-7365.63,True
IFB_1084,kdjma,long,PRE_RTH,1.5,1.0,6,True,3,74,7978.78,2645.01,1.3661,0.5946,107.821,29772.83,-21794.05,49,5713.81,2645.01,1.396,0.6327,116.608,20142.23,-14428.42,25,2264.97,2056.61,1.3075,0.52,90.599,9630.6,-7365.63,True
IFB_0938,kdjma,both,PRE_RTH,1.5,1.0,6,False,3,106,8907.16,6219.82,1.2536,0.6226,84.03,44029.19,-35122.03,75,5974.96,6219.82,1.2451,0.6267,79.666,30351.39,-24376.43,31,2932.2,4170.4,1.2729,0.6129,94.587,13677.8,-10745.6,True
IFB_0940,kdjma,both,PRE_RTH,1.5,1.0,6,True,3,106,8907.16,6219.82,1.2536,0.6226,84.03,44029.19,-35122.03,75,5974.96,6219.82,1.2451,0.6267,79.666,30351.39,-24376.43,31,2932.2,4170.4,1.2729,0.6129,94.587,13677.8,-10745.6,True
