param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_0894,kdjma,both,ALL,1.5,1.0,12,False,3,149,330.24,173.49,1.2149,0.6174,2.216,1867.17,-1536.93,103,236.03,173.49,1.2332,0.6214,2.292,1248.14,-1012.11,46,94.21,128.64,1.1795,0.6087,2.048,619.03,-524.82,True
IFB_0896,kdjma,both,ALL,1.5,1.0,12,True,3,149,330.24,173.49,1.2149,0.6174,2.216,1867.17,-1536.93,103,236.03,173.49,1.2332,0.6214,2.292,1248.14,-1012.11,46,94.21,128.64,1.1795,0.6087,2.048,619.03,-524.82,True
IFB_0898,kdjma,both,ALL,1.5,1.0,24,False,3,149,321.49,149.77,1.2027,0.6174,2.158,1907.17,-1585.68,103,256.03,149.77,1.2496,0.6311,2.486,1281.9,-1025.87,46,65.46,131.14,1.1169,0.587,1.423,625.27,-559.81,True
IFB_0900,kdjma,both,ALL,1.5,1.0,24,True,3,149,321.49,149.77,1.2027,0.6174,2.158,1907.17,-1585.68,103,256.03,149.77,1.2496,0.6311,2.486,1281.9,-1025.87,46,65.46,131.14,1.1169,0.587,1.423,625.27,-559.81,True
