month,trades,pnl,max_dd,profit_factor,win_rate,expectancy,total_gain,total_loss
2026-04,7,33.4,85.6,1.2797,0.5714,4.771,152.8,-119.4
2026-05,32,652.4,163.6,2.1953,0.6562,20.388,1198.2,-545.8
2026-06,34,1094.8,179.4,2.3733,0.5882,32.2,1892.0,-797.2
2026-07,7,147.4,49.6,3.9718,0.7143,21.057,197.0,-49.6
