param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_0481,emapmo_early,both,PRE_RTH,1.0,0.75,6,False,1,32,-67.6,531.4,0.9457,0.5312,-2.112,1177.4,-1245.0,23,-531.4,531.4,0.5501,0.3913,-23.104,649.8,-1181.2,9,463.8,63.8,8.2696,0.8889,51.534,527.6,-63.8,False
IFB_0483,emapmo_early,both,PRE_RTH,1.0,0.75,6,True,1,32,-67.6,531.4,0.9457,0.5312,-2.112,1177.4,-1245.0,23,-531.4,531.4,0.5501,0.3913,-23.104,649.8,-1181.2,9,463.8,63.8,8.2696,0.8889,51.534,527.6,-63.8,False
IFB_1293,kdjma,short,RTH,1.5,1.5,24,False,1,31,224.2,465.8,1.1089,0.5806,7.232,2283.6,-2059.4,23,602.6,396.8,1.493,0.6087,26.2,1824.8,-1222.2,8,-378.4,465.8,0.548,0.5,-47.3,458.8,-837.2,False
IFB_1295,kdjma,short,RTH,1.5,1.5,24,True,1,31,224.2,465.8,1.1089,0.5806,7.232,2283.6,-2059.4,23,602.6,396.8,1.493,0.6087,26.2,1824.8,-1222.2,8,-378.4,465.8,0.548,0.5,-47.3,458.8,-837.2,False
IFB_0181,emapmo_normal,long,ALL,1.5,1.5,6,False,1,18,213.6,295.41,1.4357,0.5,11.866,703.8,-490.2,11,294.2,164.6,1.9399,0.5455,26.746,607.2,-313.0,7,-80.61,130.81,0.5451,0.4286,-11.515,96.6,-177.2,False
IFB_0183,emapmo_normal,long,ALL,1.5,1.5,6,True,1,18,213.6,295.41,1.4357,0.5,11.866,703.8,-490.2,11,294.2,164.6,1.9399,0.5455,26.746,607.2,-313.0,7,-80.61,130.81,0.5451,0.4286,-11.515,96.6,-177.2,False
IFB_1001,kdjma,both,RTH,1.5,1.5,12,False,1,43,-295.4,695.2,0.8996,0.4651,-6.87,2648.0,-2943.4,30,204.0,695.2,1.1104,0.5333,6.8,2051.2,-1847.2,13,-499.4,533.8,0.5444,0.3077,-38.415,596.8,-1096.2,False
IFB_1003,kdjma,both,RTH,1.5,1.5,12,True,1,43,-295.4,695.2,0.8996,0.4651,-6.87,2648.0,-2943.4,30,204.0,695.2,1.1104,0.5333,6.8,2051.2,-1847.2,13,-499.4,533.8,0.5444,0.3077,-38.415,596.8,-1096.2,False
IFB_0278,emapmo_normal,long,RTH,1.5,1.5,6,False,3,12,302.4,199.6,1.5352,0.5833,25.2,867.4,-565.0,7,477.4,95.4,3.6289,0.7143,68.2,659.0,-181.6,5,-175.0,199.6,0.5436,0.4,-35.0,208.4,-383.4,False
IFB_0280,emapmo_normal,long,RTH,1.5,1.5,6,True,3,12,302.4,199.6,1.5352,0.5833,25.2,867.4,-565.0,7,477.4,95.4,3.6289,0.7143,68.2,659.0,-181.6,5,-175.0,199.6,0.5436,0.4,-35.0,208.4,-383.4,False
