signal_id,signal_family,signal_subtype,direction,side,signal_time,entry_time,source_i,entry_i,entry,source_close,atr14,atr50,range15,session,trade_date,week,month,pmo,pmo_signal,kdj_j,rsi14,mom_norm,rev_z,cluster_size,cluster_kind,cluster_families,h1_correct,h1_ret_points,h1_mfe_points,h1_mae_points,h1_peak_capture,h1_wrong_short_right_long,h3_correct,h3_ret_points,h3_mfe_points,h3_mae_points,h3_peak_capture,h3_wrong_short_right_long,h6_correct,h6_ret_points,h6_mfe_points,h6_mae_points,h6_peak_capture,h6_wrong_short_right_long,h12_correct,h12_ret_points,h12_mfe_points,h12_mae_points,h12_peak_capture,h12_wrong_short_right_long,h24_correct,h24_ret_points,h24_mfe_points,h24_mae_points,h24_peak_capture,h24_wrong_short_right_long,h48_correct,h48_ret_points,h48_mfe_points,h48_mae_points,h48_peak_capture,h48_wrong_short_right_long
icefishball:kdjma:short:2026-07-06T07:00:00+00:00,icefishball,kdjma,-1,short,2026-07-06 06:55:00+00:00,2026-07-06 07:00:00+00:00,35,36,29847.0,29847.75,23.25,25.92361111111111,23.0,ASIA,2026-07-06,2026-W28,2026-07,-0.23033130236666333,-0.24957686064094262,100.93302132643188,61.292933418680974,,1.1754270390211854,2,same_family,icefishball,0,-2.25,18.5,14.25,0,0,0,-12.5,18.5,17.25,0,0,1,0.5,31.25,17.25,0,1,0,-16.0,31.25,33.5,0,0,0,-10.5,67.0,38.0,0,0,0,-4.5,67.0,48.75,0,0
icefishball:kdjma:short:2026-07-06T07:05:00+00:00,icefishball,kdjma,-1,short,2026-07-06 07:00:00+00:00,2026-07-06 07:05:00+00:00,36,37,29849.25,29850.0,22.267857142857142,25.885135135135137,26.75,EURO,2026-07-06,2026-W28,2026-07,-0.22570126196635792,-0.245235842700109,100.24418261461037,61.83126587021315,,1.1239569460775556,2,same_family,icefishball,1,1.5,8.25,13.75,0,0,1,13.25,17.25,15.0,0,0,1,10.25,33.5,15.0,0,0,0,-20.5,33.5,35.75,0,0,0,-12.25,69.25,35.75,0,0,0,-3.5,69.25,46.5,0,0
icefishball:kdjma:long:2026-07-06T13:30:00+00:00,icefishball,kdjma,1,long,2026-07-06 13:25:00+00:00,2026-07-06 13:30:00+00:00,113,114,29836.0,29836.5,28.660714285714285,24.255,45.75,PRE,2026-07-06,2026-W28,2026-07,-0.03557055543865097,-0.037895425896910896,-4.3593805601096065,37.076770631014774,-0.12136841362390788,-1.3416440389446758,1,solo,icefishball,1,61.0,101.25,60.0,0,0,1,117.0,131.5,60.0,0,0,1,93.75,172.5,60.0,0,0,1,208.25,221.0,60.0,0,0,1,213.0,237.5,60.0,0,0,1,97.25,258.0,60.0,0,0
icefishball:kdjma:short:2026-07-06T13:55:00+00:00,icefishball,kdjma,-1,short,2026-07-06 13:50:00+00:00,2026-07-06 13:55:00+00:00,118,119,29971.25,29970.75,56.67857142857143,33.245,162.5,RTH,2026-07-06,2026-W28,2026-07,-0.02560262078440067,-0.032504448616397064,104.26229139315106,63.28490368836351,0.2601356953591568,1.053990347612282,1,solo,icefishball,1,41.5,69.25,17.5,1,0,0,-51.25,69.25,56.25,0,0,0,-41.0,69.25,71.0,0,0,0,-54.25,69.25,97.0,0,0,0,-102.75,69.25,113.75,0,0,1,74.25,89.5,122.75,0,1
icefishball:kdjma:short:2026-07-06T14:25:00+00:00,icefishball,kdjma,-1,short,2026-07-06 14:20:00+00:00,2026-07-06 14:25:00+00:00,124,125,30015.25,30014.5,73.58928571428571,37.755,70.0,RTH,2026-07-06,2026-W28,2026-07,-0.009422694581744247,-0.020558028195486133,93.9322214296404,64.48259285908324,0.35022167534599574,0.7034310353326488,1,solo,icefishball,0,-29.0,23.25,41.75,0,0,0,-22.75,26.75,41.75,0,0,0,-10.25,28.25,53.0,0,0,0,-45.75,74.0,53.0,0,0,0,-17.75,74.0,78.75,0,0,1,43.5,133.5,78.75,0,1
icefishball:kdjma:short:2026-07-06T16:10:00+00:00,icefishball,kdjma,-1,short,2026-07-06 16:05:00+00:00,2026-07-06 16:10:00+00:00,145,146,30076.5,30076.25,39.142857142857146,46.565,40.25,RTH,2026-07-06,2026-W28,2026-07,0.034485031902388226,0.026071072138400965,87.01654990151513,61.513894508427875,0.6846792780638288,0.6389599794800591,1,solo,icefishball,1,9.75,24.75,17.5,0,0,1,43.5,51.75,17.5,1,0,1,59.75,75.25,17.5,1,0,1,57.75,102.0,17.5,1,0,1,127.75,194.75,17.5,1,0,1,113.0,194.75,17.5,1,0
momentum_reversion:m200r5_0362:long:2026-07-06T17:00:00+00:00,momentum_reversion,m200r5_0362,1,long,2026-07-06 16:55:00+00:00,2026-07-06 17:00:00+00:00,155,156,29989.25,29989.25,30.321428571428573,46.95,60.0,RTH,2026-07-06,2026-W28,2026-07,0.03658755913044391,0.03616501270276319,-0.29277930977379185,41.56640305509895,0.48104612462985413,-1.2056819684030298,1,solo,momentum_reversion,1,40.0,43.0,14.75,1,0,1,10.75,47.25,14.75,1,0,0,-56.0,47.25,69.0,0,0,0,-65.25,47.25,107.5,0,0,0,-0.5,47.25,107.5,0,0,0,-32.5,62.75,107.5,0,0
icefishball:kdjma:long:2026-07-06T17:45:00+00:00,icefishball,kdjma,1,long,2026-07-06 17:40:00+00:00,2026-07-06 17:45:00+00:00,164,165,29905.25,29904.75,35.160714285714285,45.56,78.75,RTH,2026-07-06,2026-W28,2026-07,0.02430681567585381,0.031097257064950465,4.097458950595282,29.634955341956,-0.4935337353833128,-1.8576759649354622,1,solo,icefishball,0,-2.25,31.25,23.25,0,0,1,18.75,31.25,23.25,0,1,1,78.75,89.75,23.25,0,1,1,82.25,97.75,23.25,0,0,1,119.0,146.75,23.25,0,0,1,51.5,146.75,23.25,0,0
