param_id,direction,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,session,trade_date,mom_norm,rev_z
M200R5_0362,long,2026-04-20T04:05:00+00:00,2026-04-20T04:35:00+00:00,26943.25,26930.5,26930.5,26956.0,-26.74,-25.5,sl,6,ASIA,2026-04-20,0.49088075812655585,-1.2014413921509661
M200R5_0362,long,2026-04-22T03:15:00+00:00,2026-04-22T03:30:00+00:00,27077.0,27090.75,27063.25,27090.75,26.26,27.5,tp,3,ASIA,2026-04-22,0.5891366599765747,-1.2057960115035051
M200R5_0362,long,2026-04-23T00:05:00+00:00,2026-04-23T00:05:00+00:00,27348.75,27337.25,27337.25,27360.25,-24.24,-23.0,sl,0,ASIA,2026-04-23,0.5265593979171828,-1.4118592204340825
M200R5_0362,short,2026-04-23T04:35:00+00:00,2026-04-23T05:35:00+00:00,27211.25,27212.75,27237.0,27185.5,-4.24,-3.0,time,12,ASIA,2026-04-23,-0.8252132668746767,1.1756027264250704
M200R5_0362,short,2026-04-23T20:05:00+00:00,2026-04-23T20:15:00+00:00,27252.25,27190.75,27313.75,27190.75,121.76,123.0,tp,2,AH,2026-04-23,-0.4552577511632386,1.6826388516515969
M200R5_0362,long,2026-04-24T02:25:00+00:00,2026-04-24T02:50:00+00:00,27350.25,27328.25,27328.25,27372.25,-45.24,-44.0,sl,5,ASIA,2026-04-24,0.40982502197553655,-1.5374055303791032
M200R5_0362,long,2026-04-24T12:50:00+00:00,2026-04-24T13:10:00+00:00,27493.25,27535.75,27450.75,27535.75,83.76,85.0,tp,4,PRE,2026-04-24,0.7178848214676957,-1.4344058227827043
M200R5_0362,long,2026-04-24T13:30:00+00:00,2026-04-24T13:35:00+00:00,27479.5,27524.25,27434.75,27524.25,88.26,89.5,tp,1,PRE,2026-04-24,0.4527806649786543,-1.1614542899289482
M200R5_0362,long,2026-04-27T04:05:00+00:00,2026-04-27T04:20:00+00:00,27780.0,27795.5,27764.5,27795.5,29.76,31.0,tp,3,ASIA,2026-04-27,1.1934160908809361,-1.207974784830079
M200R5_0362,long,2026-04-27T18:55:00+00:00,2026-04-27T19:10:00+00:00,27662.25,27682.5,27642.0,27682.5,39.26,40.5,tp,3,RTH,2026-04-27,0.480833742234874,-1.6914151500888548
M200R5_0362,long,2026-04-28T00:30:00+00:00,2026-04-28T01:30:00+00:00,27734.25,27733.25,27713.5,27755.0,-3.24,-2.0,time,12,ASIA,2026-04-28,0.4467022041805976,-1.5984142097615854
M200R5_0362,short,2026-04-28T04:35:00+00:00,2026-04-28T04:55:00+00:00,27706.0,27691.75,27720.25,27691.75,27.26,28.5,tp,4,ASIA,2026-04-28,-0.4153085107162975,1.4027520345132882
M200R5_0362,short,2026-04-28T13:00:00+00:00,2026-04-28T13:30:00+00:00,27417.75,27368.5,27467.0,27368.5,97.26,98.5,tp,6,PRE,2026-04-28,-0.6573485972195833,1.1670104716840313
M200R5_0362,long,2026-04-29T01:05:00+00:00,2026-04-29T01:05:00+00:00,27511.5,27490.25,27490.25,27532.75,-43.74,-42.5,sl,0,ASIA,2026-04-29,0.5157619105690241,-1.579884175016848
M200R5_0362,long,2026-04-29T05:25:00+00:00,2026-04-29T05:25:00+00:00,27548.75,27563.25,27534.25,27563.25,27.76,29.0,tp,0,ASIA,2026-04-29,0.5010362007020029,-1.198242263133674
M200R5_0362,long,2026-04-30T02:20:00+00:00,2026-04-30T02:25:00+00:00,27816.5,27790.25,27790.25,27842.75,-53.74,-52.5,sl,1,ASIA,2026-04-30,0.6872121841410997,-1.240311751396624
M200R5_0362,short,2026-04-30T06:35:00+00:00,2026-04-30T07:05:00+00:00,27552.5,27593.0,27593.0,27512.0,-82.24,-81.0,sl,6,ASIA,2026-04-30,-0.7632578839598992,1.474972741209171
M200R5_0362,short,2026-04-30T07:15:00+00:00,2026-04-30T07:30:00+00:00,27592.25,27635.75,27635.75,27548.75,-88.24,-87.0,sl,3,EURO,2026-04-30,-0.5124061023420985,1.3813300080842628
