param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,sl_atr,tp_atr,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_1093,40,0.7,12,1.1,1.5,1.25,12,True,False,ALL,1,11,443.36,138.98,2.686,0.6364,40.305,706.32,-262.96,6,124.56,138.98,1.849,0.5,20.76,271.28,-146.72,5,318.8,116.24,3.7426,0.8,63.76,435.04,-116.24,False
M200R5_0652,40,0.4,20,1.1,1.25,1.0,12,False,False,PRE_RTH,3,21,713.96,262.74,2.1298,0.7143,33.998,1345.9,-631.94,20,533.7,262.74,1.8445,0.7,26.685,1165.64,-631.94,1,180.26,0.0,999.0,1.0,180.26,180.26,0.0,False
M200R5_0658,40,0.4,20,1.1,1.25,1.0,12,False,True,PRE_RTH,3,21,713.96,262.74,2.1298,0.7143,33.998,1345.9,-631.94,20,533.7,262.74,1.8445,0.7,26.685,1165.64,-631.94,1,180.26,0.0,999.0,1.0,180.26,180.26,0.0,False
M200R5_1311,40,0.7,20,0.8,1.5,1.5,6,True,False,PRE_RTH,1,5,362.3,123.98,3.9222,0.6,72.46,486.28,-123.98,4,104.54,123.98,1.8432,0.5,26.135,228.52,-123.98,1,257.76,0.0,999.0,1.0,257.76,257.76,0.0,False
M200R5_1312,40,0.7,20,0.8,1.5,1.5,6,True,False,PRE_RTH,3,5,362.3,123.98,3.9222,0.6,72.46,486.28,-123.98,4,104.54,123.98,1.8432,0.5,26.135,228.52,-123.98,1,257.76,0.0,999.0,1.0,257.76,257.76,0.0,False
M200R5_1317,40,0.7,20,0.8,1.5,1.5,6,True,True,PRE_RTH,1,5,362.3,123.98,3.9222,0.6,72.46,486.28,-123.98,4,104.54,123.98,1.8432,0.5,26.135,228.52,-123.98,1,257.76,0.0,999.0,1.0,257.76,257.76,0.0,False
M200R5_1318,40,0.7,20,0.8,1.5,1.5,6,True,True,PRE_RTH,3,5,362.3,123.98,3.9222,0.6,72.46,486.28,-123.98,4,104.54,123.98,1.8432,0.5,26.135,228.52,-123.98,1,257.76,0.0,999.0,1.0,257.76,257.76,0.0,False
M200R5_1335,40,0.7,20,0.8,1.5,1.5,12,True,False,PRE_RTH,1,5,362.3,123.98,3.9222,0.6,72.46,486.28,-123.98,4,104.54,123.98,1.8432,0.5,26.135,228.52,-123.98,1,257.76,0.0,999.0,1.0,257.76,257.76,0.0,False
M200R5_1336,40,0.7,20,0.8,1.5,1.5,12,True,False,PRE_RTH,3,5,362.3,123.98,3.9222,0.6,72.46,486.28,-123.98,4,104.54,123.98,1.8432,0.5,26.135,228.52,-123.98,1,257.76,0.0,999.0,1.0,257.76,257.76,0.0,False
M200R5_1341,40,0.7,20,0.8,1.5,1.5,12,True,True,PRE_RTH,1,5,362.3,123.98,3.9222,0.6,72.46,486.28,-123.98,4,104.54,123.98,1.8432,0.5,26.135,228.52,-123.98,1,257.76,0.0,999.0,1.0,257.76,257.76,0.0,False
