month,trades,pnl,max_dd,profit_factor,win_rate,expectancy,total_gain,total_loss
2026-04,18,169.68,240.2,1.4565,0.5,9.427,541.34,-371.66
2026-05,34,434.84,248.7,1.4167,0.5588,12.789,1478.44,-1043.6
2026-06,36,549.86,590.16,1.35,0.5556,15.274,2120.7,-1570.84
2026-07,3,91.28,36.24,3.5188,0.6667,30.427,127.52,-36.24
