param_id,side,label,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,exit_label
R0430,short,S-0.5,2026-06-12T17:10:00+00:00,2026-06-12T18:15:00+00:00,4238.5,4250.5,4250.5,4214.5,-1203.8,-1200.0,sl,13,XS-0.5
R0430,short,S-0.5,2026-06-15T00:55:00+00:00,2026-06-15T01:20:00+00:00,4313.1,4325.1,4325.1,4289.1,-1203.8,-1200.0,sl,5,XS-0.5
R0430,short,S-0.5,2026-06-15T03:40:00+00:00,2026-06-15T05:40:00+00:00,4345.0,4333.89990234375,4357.0,4321.0,1106.209765625,1110.009765625,time,24,XS-0.5
R0430,short,S-0.5,2026-06-15T15:00:00+00:00,2026-06-15T17:00:00+00:00,4376.5,4355.5,4394.5,4352.5,2096.2,2100.0,time,24,XS-0.5
R0430,short,S-0.5,2026-06-15T19:30:00+00:00,2026-06-15T22:30:00+00:00,4344.400000000001,4330.7001953125,4356.400000000001,4320.400000000001,1366.1804687500546,1369.9804687500546,time,24,XS-0.5
R0430,short,S-0.5,2026-06-15T22:40:00+00:00,2026-06-16T00:40:00+00:00,4333.5,4331.7998046875,4345.5,4309.5,166.21953125,170.01953125,time,24,XS-0.5
R0430,short,S-0.5,2026-06-16T04:50:00+00:00,2026-06-16T06:50:00+00:00,4342.400000000001,4340.5,4354.400000000001,4318.400000000001,186.20000000005456,190.00000000005457,time,24,XS-0.5
R0430,short,S-0.5,2026-06-16T12:00:00+00:00,2026-06-16T14:00:00+00:00,4359.8,4359.89990234375,4377.8,4335.8,-13.79023437498181,-9.99023437498181,time,24,XS-0.5
R0430,short,S-0.5,2026-06-16T15:20:00+00:00,2026-06-16T15:55:00+00:00,4342.2,4360.2,4360.2,4318.2,-1803.8,-1800.0,sl,7,XS-0.5
R0430,short,S-0.5,2026-06-16T17:15:00+00:00,2026-06-16T18:00:00+00:00,4352.1,4364.1,4364.1,4328.1,-1203.8,-1200.0,sl,9,XS-0.5
R0430,short,S-0.5,2026-06-16T19:45:00+00:00,2026-06-16T22:45:00+00:00,4359.0,4353.0,4371.0,4335.0,596.2,600.0,time,24,XS-0.5
