param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_0327,emapmo_normal,short,ALL,1.5,1.5,6,True,1,30,381.8,494.7,1.5359,0.6,12.727,1094.18,-712.38,22,153.22,381.72,1.2646,0.5909,6.965,732.38,-579.16,8,228.58,112.98,2.7158,0.625,28.572,361.8,-133.22,True
IFB_1293,kdjma,short,RTH,1.5,1.5,24,False,1,43,680.68,417.5,1.2733,0.5116,15.83,3171.22,-2490.54,33,410.08,417.5,1.2432,0.5455,12.427,2096.18,-1686.1,10,270.6,335.24,1.3364,0.4,27.06,1075.04,-804.44,False
IFB_1295,kdjma,short,RTH,1.5,1.5,24,True,1,43,680.68,417.5,1.2733,0.5116,15.83,3171.22,-2490.54,33,410.08,417.5,1.2432,0.5455,12.427,2096.18,-1686.1,10,270.6,335.24,1.3364,0.4,27.06,1075.04,-804.44,False
IFB_0090,emapmo_normal,both,PRE_RTH,1.5,1.5,12,False,3,29,394.54,362.1,1.2514,0.5517,13.605,1964.16,-1569.62,19,246.94,362.1,1.26,0.5263,12.997,1196.6,-949.66,10,147.6,278.7,1.2381,0.6,14.76,767.56,-619.96,False
IFB_0092,emapmo_normal,both,PRE_RTH,1.5,1.5,12,True,3,29,394.54,362.1,1.2514,0.5517,13.605,1964.16,-1569.62,19,246.94,362.1,1.26,0.5263,12.997,1196.6,-949.66,10,147.6,278.7,1.2381,0.6,14.76,767.56,-619.96,False
IFB_0062,emapmo_normal,both,PRE_RTH,1.0,1.0,6,False,3,29,260.04,260.7,1.2494,0.5517,8.967,1302.66,-1042.62,19,165.94,260.7,1.2642,0.5263,8.734,794.1,-628.16,10,94.1,188.2,1.227,0.6,9.41,508.56,-414.46,False
IFB_0064,emapmo_normal,both,PRE_RTH,1.0,1.0,6,True,3,29,260.04,260.7,1.2494,0.5517,8.967,1302.66,-1042.62,19,165.94,260.7,1.2642,0.5263,8.734,794.1,-628.16,10,94.1,188.2,1.227,0.6,9.41,508.56,-414.46,False
IFB_0066,emapmo_normal,both,PRE_RTH,1.0,1.0,12,False,3,29,296.04,260.7,1.2839,0.5517,10.208,1338.66,-1042.62,19,201.94,260.7,1.3215,0.5263,10.628,830.1,-628.16,10,94.1,188.2,1.227,0.6,9.41,508.56,-414.46,False
IFB_0068,emapmo_normal,both,PRE_RTH,1.0,1.0,12,True,3,29,296.04,260.7,1.2839,0.5517,10.208,1338.66,-1042.62,19,201.94,260.7,1.3215,0.5263,10.628,830.1,-628.16,10,94.1,188.2,1.227,0.6,9.41,508.56,-414.46,False
IFB_0070,emapmo_normal,both,PRE_RTH,1.0,1.0,24,False,3,29,296.04,260.7,1.2839,0.5517,10.208,1338.66,-1042.62,19,201.94,260.7,1.3215,0.5263,10.628,830.1,-628.16,10,94.1,188.2,1.227,0.6,9.41,508.56,-414.46,False
IFB_0072,emapmo_normal,both,PRE_RTH,1.0,1.0,24,True,3,29,296.04,260.7,1.2839,0.5517,10.208,1338.66,-1042.62,19,201.94,260.7,1.3215,0.5263,10.628,830.1,-628.16,10,94.1,188.2,1.227,0.6,9.41,508.56,-414.46,False
IFB_0114,emapmo_normal,both,RTH,1.0,1.0,12,False,3,27,264.52,232.68,1.2612,0.5556,9.797,1277.4,-1012.88,17,170.42,232.68,1.2848,0.5294,10.025,768.84,-598.42,10,94.1,188.2,1.227,0.6,9.41,508.56,-414.46,False
