month,trades,pnl,max_dd,profit_factor,win_rate,expectancy,total_gain,total_loss
2026-04,7,156.32,55.24,2.8838,0.7143,22.331,239.3,-82.98
2026-05,23,84.48,234.46,1.1338,0.4783,3.673,715.86,-631.38
2026-06,26,443.76,443.2,1.3965,0.5,17.068,1562.88,-1119.12
2026-07,3,13.28,172.24,1.0771,0.6667,4.427,185.52,-172.24
