param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,risk_mode,sl_atr,tp_atr,sl_fixed,tp_fixed,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_0163,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,6,True,True,ALL,1,35,-173.4,299.75,0.6846,0.3714,-4.954,376.38,-549.78,24,-224.76,276.04,0.4516,0.2917,-9.365,185.07,-409.83,11,51.36,57.48,1.367,0.5455,4.669,191.31,-139.95,False
M200R5_0164,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,6,True,True,ALL,3,59,50.59,299.81,1.0696,0.4915,0.857,777.79,-727.2,38,-150.87,239.88,0.7139,0.3947,-3.97,376.4,-527.27,21,201.46,102.47,2.0077,0.6667,9.593,401.39,-199.93,False
M200R5_0165,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,6,True,True,PRE_RTH,1,14,91.39,127.47,1.4203,0.5714,6.528,308.83,-217.44,10,-92.4,127.47,0.5751,0.4,-9.24,125.04,-217.44,4,183.79,0.0,999.0,1.0,45.947,183.79,0.0,False
M200R5_0166,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,6,True,True,PRE_RTH,3,16,116.41,127.47,1.5293,0.5625,7.276,336.34,-219.93,12,-67.38,127.47,0.6936,0.4167,-5.615,152.55,-219.93,4,183.79,0.0,999.0,1.0,45.947,183.79,0.0,False
M200R5_0167,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,6,True,True,RTH,1,13,200.13,86.21,2.4693,0.6923,15.395,336.34,-136.21,9,16.34,86.21,1.12,0.5556,1.816,152.55,-136.21,4,183.79,0.0,999.0,1.0,45.947,183.79,0.0,False
M200R5_0168,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,6,True,True,RTH,3,14,197.64,88.7,2.4249,0.6429,14.117,336.34,-138.7,10,13.85,88.7,1.0999,0.5,1.385,152.55,-138.7,4,183.79,0.0,999.0,1.0,45.947,183.79,0.0,False
M200R5_0169,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,False,ALL,1,48,-38.27,201.04,0.9434,0.4792,-0.797,637.73,-676.0,33,-92.17,178.62,0.8094,0.3939,-2.793,391.38,-483.55,15,53.9,152.46,1.2801,0.6667,3.593,246.35,-192.45,False
M200R5_0170,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,False,ALL,3,125,-117.5,568.23,0.9407,0.496,-0.94,1865.62,-1983.12,89,-260.36,509.69,0.8261,0.4494,-2.925,1236.65,-1497.01,36,142.86,199.89,1.2939,0.6111,3.968,628.97,-486.11,False
M200R5_0171,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,False,PRE_RTH,1,32,496.57,126.2,2.2777,0.625,15.518,885.2,-388.63,24,251.49,126.2,1.7538,0.5833,10.479,585.14,-333.65,8,245.08,32.49,5.4576,0.75,30.635,300.06,-54.98,False
M200R5_0172,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,False,PRE_RTH,3,49,-93.26,359.73,0.9169,0.5102,-1.903,1029.0,-1122.26,36,-222.14,359.73,0.7568,0.4722,-6.171,691.42,-913.56,13,128.88,81.24,1.6175,0.6154,9.914,337.58,-208.7,False
M200R5_0173,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,False,RTH,1,29,392.79,174.99,1.8121,0.6552,13.544,876.44,-483.65,21,160.21,174.99,1.385,0.619,7.629,576.38,-416.17,8,232.58,34.99,4.4467,0.75,29.072,300.06,-67.48,False
M200R5_0174,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,False,RTH,3,40,220.4,319.98,1.2582,0.6,5.51,1073.99,-853.59,28,69.03,319.98,1.1034,0.5714,2.465,736.41,-667.38,12,151.37,81.24,1.8129,0.6667,12.614,337.58,-186.21,False
M200R5_0175,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,True,ALL,1,48,-154.52,254.61,0.7608,0.5417,-3.219,491.51,-646.03,33,-128.42,199.69,0.7169,0.4848,-3.892,325.16,-453.58,15,-26.1,152.46,0.8644,0.6667,-1.74,166.35,-192.45,False
M200R5_0176,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,True,ALL,3,125,-326.25,550.73,0.8228,0.568,-2.61,1514.46,-1840.71,89,-321.61,442.19,0.7626,0.5506,-3.614,1032.99,-1354.6,36,-4.64,213.64,0.9905,0.6111,-0.129,481.47,-486.11,False
M200R5_0177,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,True,PRE_RTH,1,32,376.57,136.2,1.9945,0.6562,11.768,755.21,-378.64,24,177.74,136.2,1.5492,0.625,7.406,501.4,-323.66,8,198.83,32.49,4.6164,0.75,24.854,253.81,-54.98,False
M200R5_0178,40,0.4,12,0.8,atr,1.5,1.5,4.321428571428571,4.321428571428571,12,False,True,PRE_RTH,3,49,-222.01,410.95,0.7986,0.551,-4.531,880.27,-1102.28,36,-313.39,410.95,0.6493,0.5278,-8.705,580.19,-893.58,13,91.38,91.2,1.4379,0.6154,7.029,300.08,-208.7,False
