month,trades,pnl,max_dd,profit_factor,win_rate,expectancy,total_gain,total_loss
2026-05,2,66.27,0.0,999.0,1.0,33.135,66.27,0.0
2026-07,1,42.51,0.0,999.0,1.0,42.51,42.51,0.0
