param_id,direction,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,asia_key,asia_high,asia_low,sweep_price,confirm_time
LSA_0329,short,2026-04-20T07:30:00+00:00,2026-04-20T10:05:00+00:00,26958.5,26991.75,26991.75,26804.0,-67.74,-66.5,sl,31,2026-04-20,26984.25,26804.0,26990.75,2026-04-20T07:30:00+00:00
LSA_0329,short,2026-04-21T10:30:00+00:00,2026-04-21T10:35:00+00:00,27115.5,27130.75,27130.75,27020.75,-31.74,-30.5,sl,1,2026-04-21,27126.5,27020.75,27129.75,2026-04-21T10:30:00+00:00
LSA_0329,short,2026-04-22T08:00:00+00:00,2026-04-22T12:00:00+00:00,27114.5,27134.75,27134.75,26997.25,-41.74,-40.5,sl,48,2026-04-22,27126.0,26997.25,27133.75,2026-04-22T08:00:00+00:00
LSA_0329,short,2026-04-24T08:30:00+00:00,2026-04-24T10:15:00+00:00,27379.75,27424.25,27424.25,27260.0,-90.24,-89.0,sl,21,2026-04-24,27406.75,27260.0,27423.25,2026-04-24T08:30:00+00:00
LSA_0329,short,2026-05-05T07:30:00+00:00,2026-05-05T07:35:00+00:00,28155.25,28173.5,28173.5,27996.75,-37.74,-36.5,sl,1,2026-05-05,28156.75,27996.75,28172.5,2026-05-05T07:30:00+00:00
LSA_0329,short,2026-05-07T08:30:00+00:00,2026-05-07T12:30:00+00:00,29016.25,29011.5,29085.0,28906.75,8.26,9.5,time,48,2026-05-07,29017.25,28906.75,29084.0,2026-05-07T08:30:00+00:00
LSA_0329,short,2026-05-20T08:00:00+00:00,2026-05-20T08:00:00+00:00,29296.25,29329.0,29329.0,29065.25,-66.74,-65.5,sl,0,2026-05-20,29309.25,29065.25,29328.0,2026-05-20T08:00:00+00:00
LSA_0329,short,2026-05-21T08:30:00+00:00,2026-05-21T12:30:00+00:00,29684.25,29547.25,29733.5,29382.25,272.76,274.0,time,48,2026-05-21,29709.25,29382.25,29732.5,2026-05-21T08:30:00+00:00
LSA_0329,short,2026-05-22T09:00:00+00:00,2026-05-22T10:30:00+00:00,29834.5,29712.75,29905.75,29712.75,242.26,243.5,tp_asia_low,18,2026-05-22,29876.0,29712.75,29904.75,2026-05-22T09:00:00+00:00
LSA_0329,short,2026-05-29T09:30:00+00:00,2026-05-29T11:15:00+00:00,30622.25,30639.75,30639.75,30485.5,-36.24,-35.0,sl,21,2026-05-29,30634.0,30485.5,30638.75,2026-05-29T09:30:00+00:00
LSA_0329,short,2026-06-02T08:30:00+00:00,2026-06-02T09:40:00+00:00,30815.75,30840.25,30840.25,30587.0,-50.24,-49.0,sl,14,2026-06-02,30819.25,30587.0,30839.25,2026-06-02T08:30:00+00:00
LSA_0329,short,2026-06-03T10:00:00+00:00,2026-06-03T10:05:00+00:00,31003.75,31040.0,31040.0,30835.5,-73.74,-72.5,sl,1,2026-06-03,31026.5,30835.5,31039.0,2026-06-03T10:00:00+00:00
LSA_0329,short,2026-06-04T07:30:00+00:00,2026-06-04T08:25:00+00:00,30787.75,30621.75,30816.25,30621.75,330.76,332.0,tp_asia_low,11,2026-06-04,30803.5,30621.75,30815.25,2026-06-04T07:30:00+00:00
LSA_0329,short,2026-06-09T07:30:00+00:00,2026-06-09T09:25:00+00:00,29881.0,29960.0,29960.0,29571.75,-159.24,-158.0,sl,23,2026-06-09,29944.25,29571.75,29959.0,2026-06-09T07:30:00+00:00
LSA_0329,short,2026-06-12T10:00:00+00:00,2026-06-12T13:30:00+00:00,29911.5,29621.25,29959.0,29621.25,579.26,580.5,tp_asia_low,42,2026-06-12,29928.75,29621.25,29958.0,2026-06-12T10:00:00+00:00
LSA_0329,short,2026-06-15T07:30:00+00:00,2026-06-15T07:35:00+00:00,30555.0,30568.5,30568.5,30100.0,-28.24,-27.0,sl,1,2026-06-15,30562.0,30100.0,30567.5,2026-06-15T07:30:00+00:00
LSA_0329,short,2026-06-17T08:30:00+00:00,2026-06-17T12:30:00+00:00,30519.25,30490.5,30585.25,30308.0,56.26,57.5,time,48,2026-06-17,30546.0,30308.0,30584.25,2026-06-17T08:30:00+00:00
LSA_0329,short,2026-06-18T08:30:00+00:00,2026-06-18T12:30:00+00:00,30430.0,30461.0,30500.25,30092.25,-63.24,-62.0,time,48,2026-06-18,30439.0,30092.25,30499.25,2026-06-18T08:30:00+00:00
LSA_0329,short,2026-06-22T08:30:00+00:00,2026-06-22T11:00:00+00:00,30701.75,30766.5,30766.5,30336.75,-130.74,-129.5,sl,30,2026-06-22,30743.0,30336.75,30765.5,2026-06-22T08:30:00+00:00
LSA_0329,short,2026-06-25T09:00:00+00:00,2026-06-25T10:35:00+00:00,30120.75,30185.0,30185.0,29924.0,-129.74,-128.5,sl,19,2026-06-25,30169.0,29924.0,30184.0,2026-06-25T09:00:00+00:00
LSA_0329,short,2026-06-29T08:00:00+00:00,2026-06-29T08:00:00+00:00,29663.5,29697.0,29697.0,29280.0,-68.24,-67.0,sl,0,2026-06-29,29684.75,29280.0,29696.0,2026-06-29T08:00:00+00:00
LSA_0329,short,2026-07-03T10:00:00+00:00,2026-07-03T11:55:00+00:00,29870.75,29902.0,29902.0,29522.5,-63.74,-62.5,sl,23,2026-07-03,29887.75,29522.5,29901.0,2026-07-03T10:00:00+00:00
