month,trades,pnl,max_dd,profit_factor,win_rate,expectancy,total_gain,total_loss
2026-04,4,-231.46,231.46,0.0,0.0,-57.865,0.0,-231.46
2026-05,6,382.56,96.22,3.7186,0.5,63.76,523.28,-140.72
2026-06,11,262.86,391.96,1.3737,0.2727,23.896,966.28,-703.42
2026-07,1,-63.74,63.74,0.0,0.0,-63.74,0.0,-63.74
