param_id,signal_name,side_mode,session_set,sl_atr,tp_atr,max_hold_bars,exit_on_opposite,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
IFB_0040,emapmo_normal,both,ALL,1.5,1.5,6,True,3,80,1118.0,328.8,1.5145,0.5625,13.975,3291.0,-2173.0,52,702.4,328.8,1.4425,0.5577,13.508,2289.8,-1587.4,28,415.6,219.2,1.7097,0.5714,14.843,1001.2,-585.6,True
IFB_0754,emapmo_early,short,ALL,1.5,1.0,24,False,3,73,1504.6,313.0,1.879,0.7123,20.611,3216.4,-1711.8,48,549.6,313.0,1.4278,0.6667,11.45,1834.4,-1284.8,25,955.0,153.8,3.2365,0.8,38.2,1382.0,-427.0,True
IFB_0756,emapmo_early,short,ALL,1.5,1.0,24,True,3,73,1342.6,313.0,1.7843,0.7123,18.392,3054.4,-1711.8,48,549.6,313.0,1.4278,0.6667,11.45,1834.4,-1284.8,25,793.0,153.8,2.8572,0.8,31.72,1220.0,-427.0,True
IFB_0006,emapmo_normal,both,ALL,1.0,0.75,12,False,3,80,734.0,231.2,1.5119,0.625,9.175,2168.0,-1434.0,52,516.4,171.2,1.58,0.6538,9.931,1406.8,-890.4,28,217.6,231.2,1.4003,0.5714,7.771,761.2,-543.6,True
IFB_0008,emapmo_normal,both,ALL,1.0,0.75,12,True,3,80,734.0,231.2,1.5119,0.625,9.175,2168.0,-1434.0,52,516.4,171.2,1.58,0.6538,9.931,1406.8,-890.4,28,217.6,231.2,1.4003,0.5714,7.771,761.2,-543.6,True
IFB_0026,emapmo_normal,both,ALL,1.5,1.0,6,False,3,80,806.0,249.2,1.4333,0.625,10.075,2666.0,-1860.0,52,462.4,249.2,1.3395,0.6346,8.892,1824.6,-1362.2,28,343.6,203.8,1.6902,0.6071,12.271,841.4,-497.8,True
IFB_0028,emapmo_normal,both,ALL,1.5,1.0,6,True,3,80,806.0,249.2,1.4333,0.625,10.075,2666.0,-1860.0,52,462.4,249.2,1.3395,0.6346,8.892,1824.6,-1362.2,28,343.6,203.8,1.6902,0.6071,12.271,841.4,-497.8,True
IFB_0002,emapmo_normal,both,ALL,1.0,0.75,6,False,3,80,674.0,189.2,1.4842,0.625,8.425,2066.0,-1392.0,52,516.4,171.2,1.58,0.6538,9.931,1406.8,-890.4,28,157.6,189.2,1.3142,0.5714,5.629,659.2,-501.6,True
IFB_0004,emapmo_normal,both,ALL,1.0,0.75,6,True,3,80,674.0,189.2,1.4842,0.625,8.425,2066.0,-1392.0,52,516.4,171.2,1.58,0.6538,9.931,1406.8,-890.4,28,157.6,189.2,1.3142,0.5714,5.629,659.2,-501.6,True
IFB_0474,emapmo_early,both,ALL,1.5,1.5,12,False,3,108,1215.61,485.4,1.299,0.5833,11.256,5280.61,-4065.0,76,833.21,485.4,1.2694,0.5526,10.963,3926.4,-3093.2,32,382.4,345.8,1.3935,0.6562,11.95,1354.2,-971.8,True
IFB_0476,emapmo_early,both,ALL,1.5,1.5,12,True,3,108,1215.61,485.4,1.299,0.5833,11.256,5280.61,-4065.0,76,833.21,485.4,1.2694,0.5526,10.963,3926.4,-3093.2,32,382.4,345.8,1.3935,0.6562,11.95,1354.2,-971.8,True
IFB_0726,emapmo_early,short,ALL,1.0,0.75,12,False,3,78,423.6,331.0,1.2506,0.641,5.431,2114.0,-1690.4,52,282.4,331.0,1.2586,0.6346,5.431,1374.6,-1092.2,26,141.2,294.4,1.236,0.6538,5.431,739.4,-598.2,True
IFB_0728,emapmo_early,short,ALL,1.0,0.75,12,True,3,78,423.6,331.0,1.2506,0.641,5.431,2114.0,-1690.4,52,282.4,331.0,1.2586,0.6346,5.431,1374.6,-1092.2,26,141.2,294.4,1.236,0.6538,5.431,739.4,-598.2,True
IFB_0730,emapmo_early,short,ALL,1.0,0.75,24,False,3,78,393.6,331.0,1.2288,0.641,5.046,2114.0,-1720.4,52,252.4,331.0,1.2249,0.6346,4.854,1374.6,-1122.2,26,141.2,294.4,1.236,0.6538,5.431,739.4,-598.2,True
IFB_0732,emapmo_early,short,ALL,1.0,0.75,24,True,3,78,393.6,331.0,1.2288,0.641,5.046,2114.0,-1720.4,52,252.4,331.0,1.2249,0.6346,4.854,1374.6,-1122.2,26,141.2,294.4,1.236,0.6538,5.431,739.4,-598.2,True
IFB_0734,emapmo_early,short,ALL,1.0,1.0,6,False,3,79,533.79,293.2,1.3254,0.5316,6.757,2174.39,-1640.6,50,229.99,293.2,1.2001,0.54,4.6,1379.39,-1149.4,29,303.8,196.8,1.6185,0.5172,10.476,795.0,-491.2,True
IFB_0736,emapmo_early,short,ALL,1.0,1.0,6,True,3,79,533.79,293.2,1.3254,0.5316,6.757,2174.39,-1640.6,50,229.99,293.2,1.2001,0.54,4.6,1379.39,-1149.4,29,303.8,196.8,1.6185,0.5172,10.476,795.0,-491.2,True
