config_id,signal_family,side_mode,sl_rule,tp_rule,sl_value,tp_value,max_hold_bars,trades,pnl,profit_factor,win_rate,expectancy,max_dd,total_gain,total_loss,wf_folds,wf_positive,wf_all_positive,wf_pnls,day_positive_rate,week_positive_rate,month_positive_rate,week_std_pnl
X01688,momentum_reversion,long_only,atr_blend,atr_blend,1.0,2.0,12,65,-0.1,1.0,0.3538,-0.0015,516.04,2092.98,-2093.08,3,1,False,"[-174.78, -331.78, 506.46]",0.4286,0.4167,0.25,181.7
X01635,momentum_reversion,long_only,atr_blend,atr_blend,1.5,2.0,6,61,-0.14,0.9999,0.459,-0.0023,455.24,1938.78,-1938.92,3,2,False,"[-292.54, 33.2, 259.2]",0.4857,0.3333,0.5,143.29
X01239,icefishball,short_only,atr_blend,atr_blend,2.0,1.5,12,283,-4.92,0.9996,0.5406,-0.0174,1296.92,11690.78,-11695.7,3,1,False,"[-602.8, 657.94, -60.06]",0.4643,0.4615,0.5,362.87
X00168,emapmo,all,range15_pct,range15_pct,1.0,2.0,24,118,-3.32,0.9996,0.3814,-0.0281,1418.76,8176.2,-8179.52,3,2,False,"[97.4, -229.86, 129.14]",0.3947,0.4167,0.5,238.22
X00204,emapmo,all,atr_blend,atr_blend,1.0,1.0,48,263,-6.12,0.9994,0.5247,-0.0233,1499.16,10517.38,-10523.5,3,2,False,"[873.38, 5.88, -885.38]",0.45,0.5833,0.5,291.38
X00094,emapmo,all,atr_blend,atr_blend,1.5,1.0,12,224,-9.26,0.9991,0.5893,-0.0413,1680.68,9943.82,-9953.08,3,1,False,"[739.5, -25.5, -723.26]",0.575,0.5833,0.5,315.92
X00153,emapmo,all,atr_blend,atr_blend,1.5,2.0,24,137,-8.88,0.999,0.438,-0.0648,1749.88,9299.6,-9308.48,3,2,False,"[845.96, 22.96, -877.8]",0.5385,0.6667,0.5,401.09
X01574,momentum_reversion,all,atr_blend,atr_blend,1.0,2.0,48,112,-4.88,0.9989,0.3304,-0.0436,890.32,4621.12,-4626.0,3,2,False,"[-753.12, 98.12, 650.12]",0.4468,0.3333,0.5,392.29
X01149,icefishball,short_only,fixed,fixed,60.0,15.0,6,328,-8.72,0.9987,0.7287,-0.0266,1075.94,6675.64,-6684.36,3,2,False,"[-612.4, 320.84, 282.84]",0.5179,0.5385,0.5,211.1
X01207,icefishball,short_only,fixed,fixed,60.0,30.0,12,292,-15.08,0.9985,0.6233,-0.0516,1119.16,9950.82,-9965.9,3,1,False,"[-304.02, 776.72, -487.78]",0.4464,0.5385,0.5,278.52
