param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,risk_mode,sl_atr,tp_atr,sl_fixed,tp_fixed,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_2238,40,0.4,20,0.8,max_fixed_atr,1.5,1.25,0.08071408952985491,0.08071408952985491,12,False,False,RTH,3,27,-522.6,736.0,0.6556,0.4815,-19.355,994.6,-1517.2,19,-432.2,639.6,0.6071,0.4737,-22.747,667.8,-1100.0,8,-90.4,289.0,0.7833,0.5,-11.3,326.8,-417.2,False
M200R5_4352,40,0.7,12,1.1,fixed_atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,12,False,True,ALL,3,82,-863.6,866.4,0.6254,0.4756,-10.532,1441.8,-2305.4,52,-509.6,643.0,0.6372,0.4808,-9.8,895.0,-1404.6,30,-354.0,500.4,0.607,0.4667,-11.8,546.8,-900.8,False
M200R5_3992,40,0.7,12,1.1,atr,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,ALL,3,83,-561.4,651.6,0.7384,0.5301,-6.764,1584.8,-2146.2,53,-177.4,353.8,0.8483,0.5849,-3.347,992.2,-1169.6,30,-384.0,565.8,0.6068,0.4333,-12.8,592.6,-976.6,False
M200R5_1997,40,0.4,20,0.8,fixed_atr_blend,1.25,1.0,0.08071408952985491,0.08071408952985491,12,False,False,RTH,1,21,-307.8,414.2,0.6461,0.4762,-14.657,562.0,-869.8,15,-255.0,411.6,0.6067,0.4667,-17.0,393.4,-648.4,6,-52.8,147.2,0.7615,0.5,-8.8,168.6,-221.4,False
M200R5_2003,40,0.4,20,0.8,fixed_atr_blend,1.25,1.0,0.08071408952985491,0.08071408952985491,12,False,True,RTH,1,21,-307.8,414.2,0.6461,0.4762,-14.657,562.0,-869.8,15,-255.0,411.6,0.6067,0.4667,-17.0,393.4,-648.4,6,-52.8,147.2,0.7615,0.5,-8.8,168.6,-221.4,False
M200R5_1539,40,0.4,20,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,False,PRE_RTH,1,26,-230.8,387.0,0.7283,0.5385,-8.877,618.8,-849.6,17,-256.6,387.0,0.6066,0.4706,-15.094,395.6,-652.2,9,25.8,99.8,1.1307,0.6667,2.867,223.2,-197.4,False
M200R5_1545,40,0.4,20,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,True,PRE_RTH,1,26,-230.8,387.0,0.7283,0.5385,-8.877,618.8,-849.6,17,-256.6,387.0,0.6066,0.4706,-15.094,395.6,-652.2,9,25.8,99.8,1.1307,0.6667,2.867,223.2,-197.4,False
M200R5_4274,40,0.7,12,1.1,fixed_atr_blend,1.25,1.0,0.08071408952985491,0.08071408952985491,6,False,False,ALL,3,83,-663.4,678.2,0.6761,0.5181,-7.993,1384.6,-2048.0,53,-327.4,484.8,0.7261,0.5472,-6.177,867.8,-1195.2,30,-336.0,506.4,0.606,0.4667,-11.2,516.8,-852.8,False
M200R5_2186,40,0.4,20,0.8,max_fixed_atr,1.25,1.0,0.08071408952985491,0.08071408952985491,12,False,False,ALL,3,123,-1583.4,1671.8,0.6139,0.4553,-12.873,2517.2,-4100.6,85,-1091.0,1267.8,0.6173,0.4588,-12.835,1759.8,-2850.8,38,-492.4,600.0,0.606,0.4474,-12.958,757.4,-1249.8,False
M200R5_2648,40,0.4,20,1.1,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,False,True,ALL,3,87,-1026.61,1118.81,0.6398,0.4368,-11.8,1823.59,-2850.2,59,-632.2,1098.2,0.6582,0.4576,-10.715,1217.39,-1849.59,28,-394.41,515.6,0.6058,0.3929,-14.086,606.2,-1000.6,False
