month,trades,pnl,max_dd,profit_factor,win_rate,expectancy,total_gain,total_loss
2026-05,3,132.6,39.8,4.3317,0.6667,44.2,172.4,-39.8
2026-06,2,148.4,45.8,4.2401,0.5,74.199,194.2,-45.8
